item,description,number,unit prices,total prices,description,url
switch mechanical,switch for the keyboard,1 set of 90,9.6,9.6,BROWN SWITCH 90PCS,https://fr.aliexpress.com/item/1005002378701948.html?spm=a2g0o.cart.0.0.4948378dQwePWN&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2010.74%21EUR%209.39%21%21EUR%209.39%21%21%21%402103864c17681234880966298e745e%2112000020915533406%21ct%21FR%21-1%21%211%210%21&gatewayAdapt=glo2fra
switch  magnetic,switch keyboard gaming,1 set of  4,5.19,5.19,Peach Magnetic 4pcs,https://fr.aliexpress.com/item/1005010429155721.html?spm=a2g0o.productlist.main.3.1e6567e8Xf7UIf&algo_pvid=53ec1f44-7bb0-41b4-a5e9-be8bdbea7066&algo_exp_id=53ec1f44-7bb0-41b4-a5e9-be8bdbea7066-2&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.94%210.99%21%21%215.64%211.13%21%40211b81a317677701823882706e8f4d%2112000052379150948%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197682709&curPageLogUid=tfJ03cLJV5Dt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010429155721%7C_p_origin_prod%3A
hall effect sensor,for the magnetic switch,1 set of 10,0.69,0.69,44E 10pcs,https://fr.aliexpress.com/item/1005006225768474.html?spm=a2g0o.productlist.main.2.7f55649fEpbjly&aem_p4p_detail=202601062320247643708199488350007686132&algo_pvid=8bd7057c-bfbe-40f8-84c1-56dd6587c508&algo_exp_id=8bd7057c-bfbe-40f8-84c1-56dd6587c508-1&pdp_ext_f=%7B%22order%22%3A%2251%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.69%210.69%21%21%215.54%215.53%21%40211b613917677704244957726e0875%2112000036362152405%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895&curPageLogUid=7GBgvaytoTaK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006225768474%7C_p_origin_prod%3A&search_p4p_id=202601062320247643708199488350007686132_2
keyboard screen 1.9,for the keyboard,1,3.46,3.46,1.9 inch,https://fr.aliexpress.com/item/1005010094030749.html?spm=a2g0o.cart.0.0.4948378dQwePWN&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.45%21EUR%202.72%21%21EUR%202.72%21%21%21%402103864c17681234697685803e745e%2112000051120994502%21ct%21FR%21-1%21%211%210%21&gatewayAdapt=glo2fra
esp32 C3 supermini,module brain,2,2.54,5.08,esp32 C3 supermini,https://fr.aliexpress.com/item/1005007479144456.html?spm=a2g0o.productlist.main.8.18244427tVj7Uo&algo_pvid=9ae678da-559b-432f-9a10-bd3caec715be&algo_exp_id=9ae678da-559b-432f-9a10-bd3caec715be-7&pdp_ext_f=%7B%22order%22%3A%225590%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.35%210.99%21%21%2118.68%217.82%21%40211b680e17681240186971833e4b88%2112000040920875458%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197682689&curPageLogUid=9WlnIeFSZliY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007479144456%7C_p_origin_prod%3A
magnet,to attach module,1 set of 5,2.61,2.61,20x10x3mm 10 pcs ,https://fr.aliexpress.com/item/1005010155005466.html?spm=a2g0o.productlist.main.13.26ec11a6SeXE9C&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005010155005466%7C_p_origin_prod%3A1005009936171779&algo_pvid=41ce8c2f-c8ea-49a3-ab8d-71baf73925e0&algo_exp_id=41ce8c2f-c8ea-49a3-ab8d-71baf73925e0&pdp_ext_f=%7B%22order%22%3A%224844%22%2C%22spu_best_type%22%3A%22service%22%2C%22orig_sl_item_id%22%3A%221005010155005466%22%2C%22orig_item_id%22%3A%221005009936171779%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.43%210.99%21%21%2111.32%217.91%21%402103919917681242213704770e4ad2%2112000051345743249%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197682689
module screen + rotary encoder,for a module,1,5.09,5.09,-,https://fr.aliexpress.com/item/1005009900611104.html?spm=a2g0o.productlist.main.3.108d4cca3mqCW4&algo_pvid=56dd5b34-c502-4f29-a269-762cd80f5ba6&algo_exp_id=56dd5b34-c502-4f29-a269-762cd80f5ba6-2&pdp_ext_f=%7B%22order%22%3A%22709%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.94%210.99%21%21%2139.20%217.88%21%4021038df617681243839737466e7fde%2112000050521989152%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197682689&curPageLogUid=fl6FUTZydKmz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009900611104%7C_p_origin_prod%3A
IN4007 diode,diode ,1 set of 100,1.31,1.31,-,https://fr.aliexpress.com/item/1005008960579954.html?spm=a2g0o.cart.0.0.24b7378diJumim&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.61%21EUR%201.31%21%21EUR%201.31%21%21%21%402103835e17681246355646498e85ee%2112000047381194207%21ct%21FR%21-1%21%211%210%21&gatewayAdapt=glo2fra
rgb strip,for the keyboard,1,3.11,3.11,DC 5V black PCB 1m 60 IP65,https://fr.aliexpress.com/item/1005009737052138.html?spm=a2g0o.productlist.main.2.fb895ccfkwRae2&aem_p4p_detail=202601110145322565579779649720012476054&algo_pvid=f743108b-cc16-4d39-b387-49815417b68a&algo_exp_id=f743108b-cc16-4d39-b387-49815417b68a-1&pdp_ext_f=%7B%22order%22%3A%22745%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.62%210.99%21%21%2128.74%217.85%21%40210390b817681247320694367e5647%2112000050023947147%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1cb5fe4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197682689&curPageLogUid=1mm1QRmobdKe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009737052138%7C_p_origin_prod%3A&search_p4p_id=202601110145322565579779649720012476054_1
esp32 devkitC,main brain,1,5.82,5.82,ESP32-DEVKITC,https://fr.aliexpress.com/item/1005007963451549.html?spm=a2g0o.detail.0.0.54cfThCfThCfm3&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.79%21EUR%205.79%21%21EUR%205.79%21%21%21%402103849717693497315346090e454b%2112000043054986933%21ct%21FR%21-1%21%211%210%21&gatewayAdapt=glo2fra
